procedure_sk,cpt_code,description,category,status
1,34830,"Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; tube prosthesis  ",AAA,No Change
2,34831,"Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; aorto-bi-iliac prosthesis ",AAA,No Change
3,34832,"Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; aorto-bifemoral prosthesis  ",AAA,No Change
4,35081,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associated occlusive disease, abdominal aorta",AAA,No Change
5,35082,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, abdominal aorta  ",AAA,No Change
6,35091,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associated occlusive disease, abdominal aorta involving visceral vessels (mesenteric, celiac, renal) ",AAA,No Change
7,35092,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, abdominal aorta involving visceral vessels (mesenteric, celiac, renal)  ",AAA,No Change
8,35102,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associated occlusive disease, abdominal aorta involving iliac vessels (common, hypogastric, external)  ",AAA,No Change
9,35103,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, abdominal aorta involving iliac vessels (common, hypogastric, external)  ",AAA,No Change
10,23900,Interthoracoscapular amputation (forequarter),AMP,No Change
11,23920,Disarticulation of shoulder,AMP,No Change
12,24900,"Amputation, arm through humerus; with primary closure ",AMP,No Change
13,24920,"Amputation, arm through humerus; open, circular (guillotine) ",AMP,No Change
14,24930,"Amputation, arm through humerus; re-amputation ",AMP,No Change
15,24931,"Amputation, arm through humerus; with implant ",AMP,No Change
16,25900,"Amputation, forearm, through radius and ulna",AMP,No Change
17,25905,"Amputation, forearm, through radius and ulna; open, circular (guillotine) ",AMP,No Change
18,25909,"Amputation, forearm, through radius and ulna; re-amputation",AMP,No Change
19,25920,Disarticulation through wrist,AMP,No Change
20,25922,Disarticulation through wrist; secondary closure or scar revision ,AMP,No Change
21,25924,Disarticulation through wrist; re-amputation ,AMP,No Change
22,25927,Transmetacarpal amputation;  ,AMP,No Change
23,25929,Transmetacarpal amputation; secondary closure or scar revision ,AMP,No Change
24,25931,Transmetacarpal amputation; re-amputation ,AMP,No Change
25,26235,"Partial excision (craterization, saucerization, or diaphysectomy) bone (eg, osteomyelitis); proximal or middle phalanx of finger",AMP,No Change
26,26236,"Partial excision (craterization, saucerization, or diaphysectomy) bone (eg, osteomyelitis); distal phalanx of finger",AMP,No Change
27,26910,"Amputation, metacarpal, with finger or thumb (ray amputation), single, with or without interosseous transfer ",AMP,No Change
28,26951,"Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; with direct closure ",AMP,No Change
29,26952,"Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; with local advancement flaps (V-Y, hood) ",AMP,No Change
30,27290,Interpelviabdominal amputation (hindquarter amputation) ,AMP,No Change
31,27295,Disarticulation of hip ,AMP,No Change
32,27590,"Amputation, thigh, through femur, any level; ",AMP,No Change
33,27591,"Amputation, thigh, through femur, any level; immediate fitting technique including first cast ",AMP,No Change
34,27592,"Amputation, thigh, through femur, any level; open, circular (guillotine) ",AMP,No Change
35,27598,Disarticulation at knee,AMP,No Change
36,27880,"Amputation, leg, through tibia and fibula; ",AMP,No Change
37,27881,"Amputation, leg, through tibia and fibula; with immediate fitting technique including application of first cast",AMP,No change
38,27882,"Amputation, leg, through tibia and fibula; open, circular (guillotine) ",AMP,No Change
39,27884,"Amputation, leg, through tibia and fibula; secondary closure or scar revision ",AMP,No Change
40,27886,"Amputation, leg, through tibia and fibula; re-amputation ",AMP,No Change
41,27888,"Amputation, ankle, through malleoli of tibia and fibula (e.g., Syme, Pirogoff type procedures), with plastic closure and resection of nerves ",AMP,No Change
42,27889,Ankle disarticulation ,AMP,No Change
43,28124,"Partial excision (craterization, saucerization, sequestrectomy, or diaphysectomy) bone (eg, osteomyelitis or bossing); phalanx of toe",AMP,No Change
44,28126,"Resection, partial or complete, phalangeal base, each toe",AMP,No Change
45,28160,"Hemiphalangectomy or interphalangeal joint excision, toe, proximal end of phalanx, each",AMP,No Change
46,28800,"Amputation, foot; midtarsal (e.g., Chopart type procedure) ",AMP,No Change
47,28805,"Amputation, foot; transmetatarsal ",AMP,No Change
48,28810,"Amputation, metatarsal, with toe, single ",AMP,No Change
49,28820,"Amputation, toe; metatarsophalangeal joint ",AMP,No Change
50,28825,"Amputation, toe; interphalangeal joint ",AMP,No Change
51,44900,"Incision and drainage of appendiceal abscess, open",APPY,No Change
52,44950,Appendectomy,APPY,No Change
53,44955,Appendectomy; when done for indicated purpose at time of other major procedure (not as separate procedure) (List separately in No changeition to code for primary procedure) ,APPY,No Change
54,44960,Appendectomy; for ruptured appendix with abscess or generalized peritonitis ,APPY,No Change
55,44970,"Laparoscopy, surgical, appendectomy ",APPY,No Change
56,44979,"Unlisted laparoscopy procedure, appendix ",APPY,No Change
57,36800,"Insertion of cannula for hemodialysis, other purpose (separate procedure); vein to vein ",AVSD,No Change
58,36810,"Insertion of cannula for hemodialysis, other purpose (separate procedure); arteriovenous, external (Scribner type) ",AVSD,No Change
59,36815,"Insertion of cannula for hemodialysis, other purpose (separate procedure); arteriovenous, external revision, or closure ",AVSD,No Change
60,36818,"Arteriovenous anastomosis, open; by upper arm cephalic vein transposition ",AVSD,No Change
61,36819,"Arteriovenous anastomosis, open; by upper arm basilic vein transposition ",AVSD,No Change
62,36820,"Arteriovenous anastomosis, open; by forearm vein transposition ",AVSD,No Change
63,36821,"Arteriovenous anastomosis, open; direct, any site (e.g., Cimino type) (separate procedure) ",AVSD,No Change
64,36825,Creation of arteriovenous fistula by other than direct arteriovenous anastomosis (separate procedure); autogenous graft ,AVSD,No Change
65,36830,Creation of arteriovenous fistula by other than direct arteriovenous anastomosis (separate procedure); non autogenous graft ,AVSD,No Change
66,36832,"Revision, open, arteriovenous fistula; without thrombectomy, autogenous or nonautogenous dialysis graft (separate procedure)",AVSD,No Change
67,36833,"Revision, open, arteriovenous fistula; with thrombectomy, autogenous or nonautogenous dialysis graft (separate procedure)",AVSD,No Change
68,36838,"Distal revascularization and interval ligation (DRIL), upper extremity hemodialysis access (steal syndrome) ",AVSD,No Change
69,47010,"Hepatotomy; for open drainage of abscess or cyst, 1 or 2 stages ",BILI,No Change
70,47015,"Laparotomy, with aspiration and/or injection of hepatic parasitic (eg, amoebic or echinococcal) cyst(s) or abscess(es ",BILI,No Change
71,47100,"Biopsy of liver, wedge ",BILI,No Change
72,47120,"Hepatectomy, resection of liver; partial lobectomy ",BILI,No Change
73,47122,"Hepatectomy, resection of liver; trisegmentectomy ",BILI,No Change
74,47125,"Hepatectomy, resection of liver; total left lobectomy ",BILI,No Change
75,47130,"Hepatectomy, resection of liver; total right lobectomy ",BILI,No Change
76,47140,"Donor hepatectomy (including cold preservation), from living donor; left lateral segment only (segments II and III) ",BILI,No Change
77,47141,"Donor hepatectomy (including cold preservation), from living donor; total left lobectomy (segments II, III and IV) ",BILI,No Change
78,47142,"Donor hepatectomy (including cold preservation), from living donor; total right lobectomy (segments V, VI, VII and VIII) ",BILI,No Change
79,47300,Marsupialization of cyst or abscess of liver ,BILI,No Change
80,47350,Management of liver hemorrhage; simple suture of liver wound or injury ,BILI,No Change
81,47360,"Management of liver hemorrhage; complex suture of liver wound or injury, with or without hepatic artery ligatio",BILI,No Change
82,47361,"Management of liver hemorrhage; exploration of hepatic wound, extensive debridement, coagulation and/or suture, with or without packing of liver ",BILI,No Change
83,47362,Management of liver hemorrhage; re-exploration of hepatic wound for removal of packing ,BILI,No Change
84,47370,"Laparoscopy, surgical, ablation of 1 or more liver tumor(s); radiofrequency ",BILI,No Change
85,47371,"Laparoscopy, surgical, ablation of 1 or more liver tumor(s); cryosurgical ",BILI,No Change
86,47379,"Unlisted laparoscopic procedure, liver ",BILI,No Change
87,47380,"Ablation, open, of 1 or more liver tumor(s); radiofrequency ",BILI,No Change
88,47381,"Ablation, open, of 1 or more liver tumor(s); cryosurgical ",BILI,No Change
89,47400,"Hepaticotomy or hepaticostomy with exploration, drainage, or removal of calculus ",BILI,No Change
90,47420,"Choledochotomy or choledochostomy with exploration, drainage, or removal of calculus, with or without cholecystotomy; without transduodenal sphincterotomy or sphincteroplasty ",BILI,No Change
91,47425,"Choledochotomy or choledochostomy with exploration, drainage, or removal of calculus, with or without cholecystotomy; with transduodenal sphincterotomy or sphincteroplasty ",BILI,No Change
92,47460,"Transduodenal sphincterotomy or sphincteroplasty, with or without transduodenal extraction of calculus (separate procedure) ",BILI,No Change
93,47700,"Exploration for congenital atresia of bile ducts, without repair, with or without liver biopsy, with or without cholangiography ",BILI,No Change
94,47701,"Portoenterostomy (eg, Kasai procedure) ",BILI,No Change
95,47711,"Excision of bile duct tumor, with or without primary repair of bile duct; extrahepatic ",BILI,No Change
96,47712,"Excision of bile duct tumor, with or without primary repair of bile duct; intrahepatic ",BILI,No Change
97,47715,Excision of choledochal cyst ,BILI,No Change
98,47760,"Anastomosis, of extrahepatic biliary ducts and gastrointestinal tract ",BILI,No Change
99,47765,"Anastomosis, of intrahepatic ducts and gastrointestinal tract ",BILI,No Change
100,47780,"Anastomosis, Roux-en-Y, of extrahepatic biliary ducts and gastrointestinal tract ",BILI,No Change
101,47785,"Anastomosis, Roux-en-Y, of intrahepatic biliary ducts and gastrointestinal tract ",BILI,No Change
102,47800,"Reconstruction, plastic, of extrahepatic biliary ducts with end-to-end anastomosis ",BILI,No Change
103,47802,U-tube hepaticoenterostomy ,BILI,No Change
104,47900,Suture of extrahepatic biliary duct for pre-existing injury (separate procedure) ,BILI,No Change
105,48000,"Placement of drains, peripancreatic, for acute pancreatitis; ",BILI,No Change
106,48001,"Placement of drains, peripancreatic, for acute pancreatitis; with cholecystostomy, gastrostomy, and jejunostomy ",BILI,No Change
107,48020,Removal of pancreatic calculus ,BILI,No Change
108,48100,"Biopsy of pancreas, open (eg, fine needle aspiration, needle core biopsy, wedge biopsy) ",BILI,No Change
109,48105,Resection or debridement of pancreas and peripancreatic tissue for acute necrotizing pancreatitis ,BILI,No Change
